English,POS,Chinese_1,Chinese_2,Example,Course,Date,Correct,Total,srs_interval,srs_ease,srs_due,srs_streak,srs_last_review
November,,十一月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
year,,年,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
December,,十二月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
yesterday,,昨天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
season,,季節,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
day,,天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
spring,,春天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
daily,,日常的,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
summer,,夏天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
autumn,,(,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
winter,,冬天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
calendar,,月(日)曆,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
clock,,時鐘,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
watch,,手表,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
fruit,,水果,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
apple,,蘋果,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
pie,,派,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
banana,,香蕉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
noodle,,麵條,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
popcorn,,爆米花,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
grape,,葡萄,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
pizza,,披薩,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
toast,,烤吐司,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
guava,,番石榴,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
pork,,豬肉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
butter,,奶油、黃油,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
lemon,,檸檬,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
rice,,米、飯,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
ketchup,,番茄醬,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
mango,,芒果,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
salad,,沙拉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
cream,,奶油、乳脂,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
orange,,柳橙,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
sandwich,,三明治,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
jam,,果醬,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
papaya,,木瓜,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
seafood,,海鮮,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
oil,,(沙拉)油,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
peach,,桃子,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
shrimp,,蝦子,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
pepper,,胡椒,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
pear,,梨子,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
soup,,湯,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
soy-sauce,,醬油,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
pineapple,,鳳梨,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
spaghetti,,義大利麵,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
salt,,鹽,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
strawberry,,草莓,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
steak,,牛排,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
sugar,,糖,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
tangerine,,橘子,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
tofu,,豆腐,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
vinegar,,醋,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
tomato,,番茄,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
breakfast,,早餐,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
hungry,,飢餓的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
watermelon,,西瓜,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
brunch,,早午餐,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
full,,飽的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
vegetable,,蔬菜,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
dinner,,晚餐,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
thirsty,,口渴的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
bean,,豆子,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
lunch,,午餐,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
bitter,,苦的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
cabbage,,包心菜,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
meal,,餐(點),,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
delicious,,美味的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
carrot,,胡蘿蔔,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
snack,,零食,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
hot,,辣、燙的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
corn,,玉米,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
supper,,晚餐,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
sour,,酸的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
lettuce,,萵苣,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
beer,,啤酒,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
sweet,,甜的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
nut,,堅果,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
coffee,,咖啡,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
yummy,,好吃的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
onion,,洋蔥,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
cola,,可樂,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
bake,,烤、烘焙,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
potato,,馬鈴薯,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
drink,,飲料,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
boil,,煮沸,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
pumpkin,,南瓜,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
ice,,冰、冰塊,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
burn,,燒,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
meat,,肉類,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
juice,,果汁,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
cook,,煮、烹飪,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
beef,,牛肉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
liquid,,液體,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
eat,,吃,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
bread,,麵包,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
milk,,牛奶,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
order,,點餐,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
bun,,小圓麵包,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
spread,,塗抹,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
burger,,(漢)堡,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
soda,,蘇打(氣泡)水,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
menu,,菜單,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
cereal,,穀物麥片,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
diet,,飲食,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
chicken,,雞肉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
tea,,茶,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
slice,,切(薄)片,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
dumpling,,餃子,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
water,,水,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
egg,,蛋,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
cake,,蛋糕,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
candy,,糖果,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
fish,,魚肉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
cheese,,起司,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
flour,,麵粉,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
chocolate,,巧克力,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
food,,食物,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
cookie,,餅乾,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
dessert,,甜點,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
ham,,火腿,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
doughnut,,甜甜圈,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
hamburger,,漢堡,,,國小1200-飲食,2026-03-07,0,0,0,2.5,,0,
bowl,,碗,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
blouse,,短上衣,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
hole,,洞,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
chopsticks,,筷子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
coat,,(西裝)外套,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
spot,,斑、汙點,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
cup,,(小)杯子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
dress,,洋裝,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
clothes,,衣服,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
dish,,(深)盤子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
jacket,,夾克,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
cotton,,棉花,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
fork,,叉子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
jeans,,牛仔褲,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
diamond,,鑽石,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
glass,,玻璃杯,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
pajamas,,睡衣,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
gold,,金子,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
knife,,刀子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
pants,,長褲,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
silver,,銀子,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
napkin,,餐巾,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
raincoat,,雨衣,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
iron,,熨斗,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
plate,,(淺)盤子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
shirt,,襯衫,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
wear,,服裝,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
saucer,,碟子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
T-shirt,,短袖圓領運動衫,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
spoon,,湯匙,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
shorts,,短褲,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
straw,,吸管,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
skirt,,裙子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
suit,,套裝,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
sweater,,毛衣,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
black,,黑色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
swimsuit,,(女)泳衣,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
blue,,藍色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
trousers,,長褲,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
brown,,咖啡色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
uniform,,制服,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
color,,顏色,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
underwear,,內衣[不可數],,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
golden,,金(黃)色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
vest,,背心,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
gray,,灰色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
bag,,袋子、包包,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
green,,綠色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
belt,,皮帶,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
button,,鈕扣,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
pink,,粉紅色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
cap,,(鴨舌)帽,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
purple,,紫色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
comb,,梳子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
red,,紅色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
white,,白色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
earrings,,耳環,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
yellow,,黃色(的),,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
glove,,手套,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
handkerchief,,手帕,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
hat,,(寬圓)帽,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
mask,,面具,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
necklace,,項鍊,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
pocket,,口袋,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
purse,,(女用)皮包,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
ring,,戒指,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
scarf,,圍巾,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
shoe(s),,鞋子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
slippers,,拖鞋,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
sneakers,,運動鞋,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
socks,,襪子,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
tie,,領帶,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
umbrella,,雨傘,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
wallet,,皮夾,,,國小1200-衣物配件,2026-03-07,0,0,0,2.5,,0,
sports,,運動,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
skate,,溜冰,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
win,,贏,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
badminton,,羽毛球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
ski,,滑雪,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
winner,,贏家,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
baseball,,棒球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
skiing,,滑雪,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
fan,,(歌、影、球)迷,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
basketball,,籃球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
stamp,,郵票,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
surf,,衝浪,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
football,,橄欖球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
swim,,游泳,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
Frisbee,,飛盤,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
swimming,,游泳,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
golf,,高爾夫球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
travel,,旅行,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
race,,賽跑、競賽,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
trip,,旅行、行程,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
soccer,,足球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
hobby,,嗜好,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
softball,,壘球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
band,,樂團,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
card,,牌,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
tennis,,網球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
cartoon,,卡通,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
volleyball,,排球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
chess,,西洋棋,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
barbecue,,烤肉,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
comic,,漫畫,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
bowling,,保齡球,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
camp,,露營,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
doll,,洋娃娃,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
camping,,露營,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
drama,,戲劇,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
climb,,攀爬,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
drum,,鼓,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
film,,影片,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
flute,,笛子,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
cooking,,烹飪,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
game,,遊戲,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
dance,,跳舞,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
guitar,,吉他,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
dancing,,跳舞,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
instrument,,樂器,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
draw,,畫畫,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
jazz,,爵士,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
drawing,,畫畫,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
kite,,風箏,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
exercise,,運動,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
movie,,電影,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
music,,音樂,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
fishing,,釣魚,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
novel,,小說,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
hike,,健行,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
paint,,繪畫,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
hiking,,健行,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
piano,,鋼琴,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
jog,,慢跑,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
jogging,,慢跑,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
puzzle,,猜謎,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
picnic,,野餐,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
song,,歌曲,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
team,,團隊,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
roller-skating,,溜直排輪,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
tent,,帳篷,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
run,,跑步,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
toy,,玩具,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
running,,跑步,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
trumpet,,喇叭,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
sail,,航行,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
violin,,小提琴,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
sailing,,航行,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
lose,,輸,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
sing,,唱歌,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
play,,玩、打(球)、彈奏(樂器),,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
singing,,唱歌,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
loser,,輸家,,,國小1200-運動、興趣和嗜好,2026-03-07,0,0,0,2.5,,0,
apartment,,公寓,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
light,,電燈,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
bucket,,水桶,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
building,,建築物,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
mirror,,鏡子,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
candle,,蠟燭,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
house,,房屋,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
shelf,,架子,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
hammer,,榔頭,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
home,,家,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
sink,,水槽,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
housework,,家事,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
basement,,地下室,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
sofa,,沙發,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
key,,鑰匙,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
bathroom,,浴室,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
table,,桌子,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
mat,,墊子,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
bedroom,,臥室,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
tub,,浴缸,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
needle,,針,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
blanket,,毯子,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
pan,,平底鍋,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
fence,,圍牆,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
carpet,,地毯,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
pot,,壺、鍋,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
garage,,車庫,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
hanger,,衣架,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
teapot,,茶壺,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
garden,,花園,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
pillow,,枕頭,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
hall,,大廳、走廊,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
sheet,,床單,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
toilet,,廁所,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
kitchen,,廚房,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
toothbrush,,牙刷,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
soap,,肥皂,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
wok,,炒菜鍋,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
room,,房間,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
towel,,毛巾,,,國小1200-房屋和公寓,2026-03-07,0,0,0,2.5,,0,
tube,,管子,,,國小1200-顏色,2026-03-07,0,0,0,2.5,,0,
